n_rep,num_qubits,n_gadgets,method,cx,u3,depth,2q_depth,time
13,7,21,pauliopt_steiner_nc,200,90,210,174,0.042115
13,7,21,pauliopt_ucc,233,117,212,182,0.084564
13,7,21,tket_uccs_pair,228,97,237,192,0.435077
13,7,21,pauliopt_steiner_clifford,95,57,83,72,0.035234
13,7,21,pauliopt_divide_conquer,173,145,208,149,0.210748
13,7,21,naive,204,92,233,201,0.041199
14,7,21,tket_uccs_pair,202,82,175,143,0.165746
14,7,21,paulihedral,130,86,138,111,0.024074
14,7,21,pauliopt_steiner_nc,146,76,152,126,0.034375
14,7,21,pauliopt_ucc,233,121,204,171,0.085995
14,7,21,tket_uccs_set,226,67,206,179,0.413702
14,7,21,pauliopt_steiner_clifford,86,56,79,64,0.030558
14,7,21,naive,180,80,204,180,0.031967
14,7,21,pauliopt_divide_conquer,159,141,189,131,0.195659
15,7,21,tket_uccs_set,238,77,225,189,0.420903
15,7,21,paulihedral,178,106,190,143,0.02873
15,7,21,pauliopt_steiner_nc,190,86,206,168,0.041698
15,7,21,tket_uccs_pair,240,91,205,172,0.426494
15,7,21,pauliopt_ucc,258,127,220,186,0.089876
15,7,21,pauliopt_steiner_clifford,96,74,85,68,0.039543
15,7,21,naive,218,96,244,208,0.034625
15,7,21,pauliopt_divide_conquer,163,132,189,135,0.201835
16,7,21,tket_uccs_set,253,80,238,202,0.357748
16,7,21,paulihedral,159,91,172,130,0.027298
16,7,21,pauliopt_steiner_nc,162,84,174,140,0.037026
16,7,21,tket_uccs_pair,238,92,209,175,0.437888
16,7,21,pauliopt_ucc,237,118,213,176,0.089143
16,7,21,pauliopt_steiner_clifford,104,68,96,81,0.037849
16,7,21,naive,192,88,223,188,0.032944
16,7,21,pauliopt_divide_conquer,179,147,218,153,0.208569
17,7,21,tket_uccs_set,254,80,223,189,0.487169
17,7,21,paulihedral,170,98,181,142,0.02661
17,7,21,tket_uccs_pair,229,88,195,165,0.417034
17,7,21,pauliopt_steiner_nc,146,84,159,126,0.036604
17,7,21,pauliopt_ucc,232,117,209,177,0.084452
17,7,21,pauliopt_steiner_clifford,79,60,69,51,0.031254
17,7,21,naive,156,87,175,146,0.030127
17,7,21,pauliopt_divide_conquer,154,132,176,126,0.199301
18,7,21,tket_uccs_set,300,75,253,217,0.396487
18,7,21,paulihedral,177,93,190,145,0.027562
18,7,21,pauliopt_steiner_nc,184,85,205,168,0.048427
18,7,21,tket_uccs_pair,239,88,230,191,0.416343
18,7,21,pauliopt_ucc,269,124,253,218,0.089376
18,7,21,pauliopt_steiner_clifford,105,75,89,74,0.038671
18,7,21,naive,208,89,239,201,0.032685
18,7,21,pauliopt_divide_conquer,203,158,228,168,0.212395
19,7,21,tket_uccs_set,271,84,234,203,0.452656
19,7,21,paulihedral,171,110,186,146,0.030122
19,7,21,tket_uccs_pair,246,103,219,175,0.489352
19,7,21,pauliopt_steiner_nc,188,97,227,188,0.042696
19,7,21,pauliopt_ucc,251,106,223,189,0.088137
19,7,21,pauliopt_steiner_clifford,89,72,88,70,0.035905
19,7,21,naive,214,103,241,210,0.040085
19,7,21,pauliopt_divide_conquer,192,163,223,161,0.214821
0,7,41,tket_uccs_set,467,126,418,363,0.48931
0,7,41,paulihedral,333,180,347,269,0.049668
0,7,41,tket_uccs_pair,450,152,380,324,0.567124
0,7,41,pauliopt_steiner_nc,288,146,316,253,0.063412
0,7,41,pauliopt_ucc,421,199,355,306,0.161769
0,7,41,pauliopt_steiner_clifford,139,86,124,102,0.057404
0,7,41,naive,346,170,396,333,0.064411
0,7,41,pauliopt_divide_conquer,337,278,400,286,0.42475
1,7,41,tket_uccs_set,558,128,468,418,0.56849
1,7,41,paulihedral,311,177,329,252,0.045419
1,7,41,pauliopt_steiner_nc,268,143,327,262,0.065033
1,7,41,tket_uccs_pair,407,155,369,304,0.610472
1,7,41,pauliopt_ucc,414,191,353,302,0.175118
1,7,41,pauliopt_steiner_clifford,140,109,123,98,0.061666
1,7,41,naive,364,170,410,353,0.065659
1,7,41,pauliopt_divide_conquer,314,272,349,235,0.416765
2,7,41,tket_uccs_set,574,145,504,440,0.606866
2,7,41,paulihedral,309,172,330,254,0.046612
2,7,41,pauliopt_steiner_nc,322,155,383,313,0.070666
2,7,41,tket_uccs_pair,367,171,344,280,0.563581
2,7,41,pauliopt_ucc,440,193,385,327,0.17163
2,7,41,pauliopt_steiner_clifford,140,92,119,99,0.063107
2,7,41,naive,410,163,464,402,0.070074
2,7,41,pauliopt_divide_conquer,281,265,335,224,0.430593
3,7,41,tket_uccs_set,558,135,496,435,0.548292
3,7,41,paulihedral,347,186,378,303,0.051366
3,7,41,tket_uccs_pair,484,168,407,346,0.555883
3,7,41,pauliopt_steiner_nc,344,165,384,318,0.078271
3,7,41,pauliopt_ucc,448,196,390,332,0.169594
3,7,41,pauliopt_steiner_clifford,155,99,139,115,0.063226
3,7,41,naive,362,183,416,352,0.110501
3,7,41,pauliopt_divide_conquer,367,281,389,289,0.415503
4,7,41,tket_uccs_pair,454,162,412,344,0.345982
4,7,41,paulihedral,277,179,320,245,0.045298
4,7,41,tket_uccs_set,488,138,442,382,0.536531
4,7,41,pauliopt_steiner_nc,302,158,360,295,0.071168
4,7,41,pauliopt_ucc,417,195,361,311,0.174927
4,7,41,pauliopt_steiner_clifford,152,121,132,105,0.07059
4,7,41,naive,360,173,408,347,0.071335
4,7,41,pauliopt_divide_conquer,344,254,369,275,0.465473
5,7,41,tket_uccs_set,539,128,481,418,0.552145
5,7,41,paulihedral,298,154,321,251,0.045032
5,7,41,tket_uccs_pair,410,149,348,296,0.516644
5,7,41,pauliopt_steiner_nc,256,133,284,227,0.058969
5,7,41,pauliopt_ucc,383,192,361,302,0.163368
5,7,41,pauliopt_steiner_clifford,120,86,96,77,0.063625
5,7,41,naive,302,149,357,299,0.058056
5,7,41,pauliopt_divide_conquer,376,289,417,307,0.509421
6,7,41,tket_uccs_set,527,131,468,412,0.554969
6,7,41,paulihedral,304,163,308,240,0.045826
6,7,41,pauliopt_steiner_nc,268,138,302,240,0.067859
6,7,41,tket_uccs_pair,411,162,389,323,0.516008
6,7,41,pauliopt_ucc,471,205,413,361,0.174343
6,7,41,pauliopt_steiner_clifford,129,88,116,91,0.054551
6,7,41,naive,344,158,386,328,0.055358
6,7,41,pauliopt_divide_conquer,316,263,349,254,0.427943
7,7,41,tket_uccs_set,627,151,539,478,0.530517
7,7,41,tket_uccs_pair,445,183,412,338,0.326205
7,7,41,paulihedral,367,195,391,311,0.05392
7,7,41,pauliopt_steiner_nc,334,169,369,303,0.074226
7,7,41,pauliopt_ucc,412,183,360,310,0.162439
7,7,41,pauliopt_steiner_clifford,151,109,134,105,0.120941
7,7,41,naive,426,186,479,418,0.074057
7,7,41,pauliopt_divide_conquer,348,313,395,274,0.433236
8,7,41,tket_uccs_set,498,131,441,388,0.528036
8,7,41,paulihedral,336,180,344,270,0.048936
8,7,41,tket_uccs_pair,454,162,412,341,0.530204
8,7,41,pauliopt_steiner_nc,282,148,334,278,0.064062
8,7,41,pauliopt_ucc,406,187,359,309,0.212779
8,7,41,pauliopt_steiner_clifford,135,100,116,94,0.058639
8,7,41,naive,348,164,395,338,0.0585
8,7,41,pauliopt_divide_conquer,339,265,400,292,0.427171
9,7,41,tket_uccs_set,550,133,483,421,0.634679
9,7,41,paulihedral,284,154,272,211,0.042869
9,7,41,tket_uccs_pair,410,165,378,307,0.624974
9,7,41,pauliopt_steiner_nc,266,138,294,241,0.058608
9,7,41,pauliopt_ucc,436,183,380,334,0.219038
9,7,41,pauliopt_steiner_clifford,133,91,119,100,0.053563
9,7,41,naive,346,152,384,334,0.054075
9,7,41,pauliopt_divide_conquer,270,245,335,225,0.394161
10,7,41,tket_uccs_set,595,143,494,434,0.533971
10,7,41,paulihedral,308,169,331,263,0.046534
10,7,41,tket_uccs_pair,489,173,433,365,0.530525
10,7,41,pauliopt_steiner_nc,300,147,356,293,0.065146
10,7,41,pauliopt_ucc,450,187,408,349,0.167717
10,7,41,pauliopt_steiner_clifford,137,99,122,95,0.063529
10,7,41,naive,378,170,432,368,0.112801
10,7,41,pauliopt_divide_conquer,350,278,389,289,0.442672
11,7,41,tket_uccs_set,523,135,481,416,0.532026
11,7,41,paulihedral,322,191,335,257,0.050305
11,7,41,pauliopt_steiner_nc,312,161,340,273,0.071623
11,7,41,tket_uccs_pair,483,173,428,357,0.533763
11,7,41,pauliopt_ucc,449,197,389,334,0.177276
11,7,41,pauliopt_steiner_clifford,150,93,131,109,0.059727
11,7,41,naive,364,174,422,360,0.060081
11,7,41,pauliopt_divide_conquer,358,308,424,302,0.496311
12,7,41,tket_uccs_set,615,148,550,489,0.559057
12,7,41,paulihedral,323,186,342,267,0.10236
12,7,41,tket_uccs_pair,458,184,407,331,0.561193
12,7,41,pauliopt_steiner_nc,322,166,352,280,0.068805
12,7,41,pauliopt_ucc,436,196,393,333,0.169017
12,7,41,pauliopt_steiner_clifford,152,95,136,111,0.06235
12,7,41,naive,406,194,449,387,0.283725
12,7,41,pauliopt_divide_conquer,327,288,377,270,0.871215
13,7,41,tket_uccs_set,575,145,502,438,0.566503
13,7,41,tket_uccs_pair,505,181,453,375,0.617555
13,7,41,paulihedral,331,181,324,258,0.053622
13,7,41,pauliopt_steiner_nc,352,161,384,317,0.077215
13,7,41,pauliopt_ucc,443,207,392,334,0.194491
13,7,41,pauliopt_steiner_clifford,145,112,134,105,0.074126
13,7,41,naive,440,185,498,436,0.131554
13,7,41,pauliopt_divide_conquer,346,307,426,300,0.462313
14,7,41,tket_uccs_set,466,120,420,371,0.55227
14,7,41,paulihedral,307,185,342,262,0.051771
14,7,41,pauliopt_steiner_nc,312,163,360,287,0.07523
14,7,41,tket_uccs_pair,404,160,373,304,0.586335
14,7,41,pauliopt_ucc,405,184,365,308,0.185672
14,7,41,pauliopt_steiner_clifford,139,116,130,96,0.074019
14,7,41,naive,382,181,431,365,0.072381
14,7,41,pauliopt_divide_conquer,337,293,392,275,0.476393
15,7,41,tket_uccs_set,438,119,382,331,0.507388
15,7,41,paulihedral,282,158,287,223,0.049548
15,7,41,pauliopt_steiner_nc,302,138,344,281,0.06953
15,7,41,tket_uccs_pair,423,143,377,309,0.561691
15,7,41,pauliopt_ucc,429,203,377,325,0.176508
15,7,41,pauliopt_steiner_clifford,131,106,123,95,0.06226
15,7,41,naive,370,156,406,354,0.057667
15,7,41,pauliopt_divide_conquer,312,232,342,261,0.400774
16,7,41,tket_uccs_set,467,136,446,384,0.495777
16,7,41,paulihedral,320,196,329,246,0.047923
16,7,41,tket_uccs_pair,491,170,433,359,0.534325
16,7,41,pauliopt_steiner_nc,306,160,339,276,0.070864
16,7,41,pauliopt_ucc,417,175,373,320,0.180359
16,7,41,pauliopt_steiner_clifford,147,87,141,118,0.134575
16,7,41,naive,396,187,459,393,0.067967
16,7,41,pauliopt_divide_conquer,332,258,375,268,0.574005
17,7,41,tket_uccs_set,480,123,425,372,0.512993
17,7,41,paulihedral,267,155,275,214,0.04741
17,7,41,pauliopt_steiner_nc,292,135,322,258,0.067363
17,7,41,tket_uccs_pair,426,152,394,325,0.592619
17,7,41,pauliopt_ucc,430,186,387,336,0.211359
17,7,41,pauliopt_steiner_clifford,140,98,129,101,0.062433
17,7,41,naive,346,146,378,327,0.060807
17,7,41,pauliopt_divide_conquer,334,265,387,281,0.423028
18,7,41,tket_uccs_set,530,130,448,388,0.530027
18,7,41,paulihedral,311,175,310,242,0.048462
18,7,41,pauliopt_steiner_nc,284,145,309,246,0.063671
18,7,41,tket_uccs_pair,429,159,394,323,0.535962
18,7,41,pauliopt_ucc,409,186,372,312,0.172143
18,7,41,pauliopt_steiner_clifford,147,103,121,99,0.06323
18,7,41,naive,356,167,406,346,0.187351
18,7,41,pauliopt_divide_conquer,320,249,361,264,0.770917
19,7,41,tket_uccs_set,580,131,495,439,0.570445
19,7,41,tket_uccs_pair,451,166,396,328,0.543875
19,7,41,paulihedral,302,170,314,245,0.141032
19,7,41,pauliopt_steiner_nc,340,148,371,307,0.111102
19,7,41,pauliopt_ucc,397,176,347,305,0.175818
19,7,41,pauliopt_steiner_clifford,130,93,122,99,0.065746
19,7,41,naive,414,166,468,409,0.073896
19,7,41,pauliopt_divide_conquer,312,282,378,263,0.492741
0,7,61,tket_uccs_set,921,215,793,694,0.743627
0,7,61,paulihedral,529,288,563,449,0.081993
0,7,61,pauliopt_steiner_nc,472,237,544,442,0.114851
0,7,61,tket_uccs_pair,715,267,631,517,0.753962
0,7,61,pauliopt_ucc,575,257,506,430,0.330204
0,7,61,pauliopt_steiner_clifford,214,145,183,150,0.120594
0,7,61,naive,620,279,706,606,0.12204
