n_rep,num_qubits,n_gadgets,method,cx,u3,depth,2q_depth,time
10,7,41,pauliopt_ucc,163,161,167,117,0.229205
10,7,41,tket_uccs_set,188,140,205,148,0.376619
10,7,41,tket_uccs_pair,192,165,193,140,0.398024
9,7,41,pauliopt_divide_conquer,231,216,268,187,0.662508
10,7,41,pauliopt_steiner_clifford,113,107,107,78,0.097696
10,7,41,naive,220,173,259,196,0.073373
11,7,41,paulihedral,268,132,305,257,0.100371
11,7,41,pauliopt_steiner_nc,158,130,206,152,0.103911
11,7,41,pauliopt_ucc,161,138,163,117,0.176626
11,7,41,tket_uccs_set,145,111,159,114,0.331198
11,7,41,tket_uccs_pair,150,141,161,111,0.355132
11,7,41,pauliopt_steiner_clifford,95,83,87,66,0.083271
11,7,41,naive,184,145,221,168,0.105024
10,7,41,pauliopt_divide_conquer,227,224,264,187,0.653977
12,7,41,paulihedral,374,167,416,361,0.13392
12,7,41,pauliopt_steiner_nc,196,165,266,194,0.102132
11,7,41,pauliopt_divide_conquer,216,181,221,161,0.585828
12,7,41,tket_uccs_set,202,153,220,155,0.400916
12,7,41,pauliopt_steiner_clifford,135,110,134,104,0.110335
12,7,41,naive,248,183,297,229,0.106918
12,7,41,pauliopt_ucc,189,168,189,136,0.245121
12,7,41,tket_uccs_pair,202,191,221,152,0.562203
13,7,41,paulihedral,248,129,289,239,0.104858
13,7,41,pauliopt_steiner_nc,156,126,200,149,0.107669
13,7,41,tket_uccs_set,158,118,160,118,0.318344
13,7,41,pauliopt_ucc,161,140,167,118,0.182016
13,7,41,naive,184,144,217,165,0.080134
13,7,41,pauliopt_steiner_clifford,109,96,106,84,0.09173
13,7,41,tket_uccs_pair,148,147,156,104,0.367843
12,7,41,pauliopt_divide_conquer,258,249,291,204,0.678801
14,7,41,paulihedral,248,138,290,237,0.101969
14,7,41,tket_uccs_set,167,138,183,131,0.366589
14,7,41,pauliopt_steiner_nc,170,141,219,161,0.180473
14,7,41,tket_uccs_pair,170,161,182,121,0.393388
13,7,41,pauliopt_divide_conquer,198,211,218,150,0.666448
14,7,41,pauliopt_ucc,166,152,155,106,0.279268
14,7,41,naive,198,157,235,172,0.099648
14,7,41,pauliopt_steiner_clifford,125,100,116,88,0.120937
15,7,41,paulihedral,242,117,264,225,0.094168
15,7,41,pauliopt_steiner_nc,142,118,197,142,0.073212
15,7,41,tket_uccs_set,153,113,157,116,0.307942
14,7,41,pauliopt_divide_conquer,192,184,212,143,0.642475
15,7,41,tket_uccs_pair,158,128,179,133,0.341434
15,7,41,pauliopt_steiner_clifford,114,95,110,87,0.09558
15,7,41,pauliopt_ucc,150,136,152,106,0.204368
15,7,41,naive,170,133,200,151,0.079692
16,7,41,pauliopt_steiner_nc,172,136,225,162,0.094848
16,7,41,paulihedral,290,140,335,278,0.226227
16,7,41,pauliopt_ucc,159,134,162,119,0.213711
16,7,41,tket_uccs_set,166,125,195,141,0.348377
16,7,41,pauliopt_steiner_clifford,119,100,117,88,0.106666
16,7,41,tket_uccs_pair,184,157,208,148,0.391548
16,7,41,naive,208,149,249,190,0.106211
15,7,41,pauliopt_divide_conquer,219,204,237,166,0.654055
17,7,41,paulihedral,316,155,358,301,0.103508
17,7,41,pauliopt_steiner_nc,190,152,250,186,0.107692
17,7,41,tket_uccs_set,194,147,198,146,0.379631
17,7,41,tket_uccs_pair,182,178,208,141,0.431195
17,7,41,pauliopt_steiner_clifford,133,111,133,102,0.125555
17,7,41,pauliopt_ucc,189,155,180,132,0.247025
17,7,41,naive,218,171,259,192,0.079836
16,7,41,pauliopt_divide_conquer,242,231,265,188,0.829787
18,7,41,paulihedral,280,133,333,274,0.106465
18,7,41,pauliopt_steiner_nc,152,128,203,144,0.089702
18,7,41,tket_uccs_set,195,139,218,158,0.35376
18,7,41,pauliopt_ucc,140,124,141,106,0.189044
18,7,41,pauliopt_steiner_clifford,106,102,101,77,0.102558
18,7,41,naive,206,154,240,179,0.088039
18,7,41,tket_uccs_pair,184,159,185,130,0.380842
19,7,41,pauliopt_steiner_nc,190,157,252,186,0.099133
17,7,41,pauliopt_divide_conquer,239,216,281,195,0.781607
19,7,41,paulihedral,348,151,382,332,0.192512
19,7,41,pauliopt_steiner_clifford,127,95,104,84,0.120546
19,7,41,pauliopt_ucc,179,157,189,135,0.206815
19,7,41,tket_uccs_set,191,138,193,137,0.408352
19,7,41,naive,222,169,271,205,0.103637
18,7,41,pauliopt_divide_conquer,214,203,244,169,0.722349
19,7,41,tket_uccs_pair,190,174,190,131,0.545143
0,7,61,paulihedral,394,206,466,387,0.13713
0,7,61,pauliopt_steiner_nc,248,205,330,242,0.150206
