,n_rep,num_qubits,n_gadgets,method,h,s,cx,time,depth,2q_depth
192,8,16,41,ours,18,24,21,0.01757192611694336,27,17
193,8,16,41,ours_random,36,40,38,0.019633769989013672,51,29
194,8,16,41,ours_temp,15,27,20,0.8521428108215332,26,14
195,8,16,41,Bravyi et al. (qiskit),20,32,50,0.009153604507446289,61,39
196,9,16,41,ours,35,52,75,0.023104190826416016,66,48
197,9,16,41,ours_random,34,40,35,0.019848346710205078,39,22
198,9,16,41,ours_temp,34,47,29,1.0187923908233643,42,21
199,9,16,41,Bravyi et al. (qiskit),20,25,48,0.008794069290161133,48,34
200,10,16,41,ours,26,35,43,0.022574901580810547,37,25
201,10,16,41,ours_random,47,54,126,0.02646636962890625,88,74
202,10,16,41,ours_temp,29,40,37,0.991008996963501,34,19
203,10,16,41,Bravyi et al. (qiskit),15,21,47,0.008410930633544922,34,22
204,11,16,41,ours,31,35,50,0.020685434341430664,54,38
205,11,16,41,ours_random,47,56,76,0.023812532424926758,71,48
206,11,16,41,ours_temp,28,31,26,0.9336440563201904,35,20
207,11,16,41,Bravyi et al. (qiskit),16,22,28,0.007512807846069336,26,21
208,12,16,41,ours,40,48,126,0.02884650230407715,85,66
209,12,16,41,ours_random,54,66,125,0.027678489685058594,102,75
210,12,16,41,ours_temp,27,33,41,1.0460975170135498,47,30
211,12,16,41,Bravyi et al. (qiskit),19,18,57,0.00905156135559082,48,36
212,13,16,41,ours,38,38,75,0.023265600204467773,60,49
213,13,16,41,ours_random,44,49,124,0.0265195369720459,77,60
214,13,16,41,ours_temp,15,20,40,0.9651637077331543,29,26
215,13,16,41,Bravyi et al. (qiskit),23,29,58,0.009167671203613281,40,23
216,14,16,41,ours,44,47,44,0.02269291877746582,58,30
217,14,16,41,ours_random,39,29,48,0.019133806228637695,49,36
218,14,16,41,ours_temp,34,34,23,0.9847002029418945,32,16
219,14,16,41,Bravyi et al. (qiskit),22,21,36,0.009020805358886719,30,19
220,15,16,41,ours,41,53,69,0.02333807945251465,66,44
221,15,16,41,ours_random,30,36,89,0.02630162239074707,58,44
222,15,16,41,ours_temp,45,45,61,1.1142449378967285,59,41
223,15,16,41,Bravyi et al. (qiskit),24,28,66,0.009122371673583984,62,45
224,16,16,41,ours,49,54,116,0.026382923126220703,88,64
225,16,16,41,ours_random,40,45,111,0.02477884292602539,93,66
226,16,16,41,ours_temp,48,46,68,1.0795881748199463,60,37
227,16,16,41,Bravyi et al. (qiskit),20,24,54,0.008645772933959961,55,38
228,17,16,41,ours,45,55,109,0.025202512741088867,84,62
229,17,16,41,ours_random,48,55,123,0.02481865882873535,103,80
