,n_rep,num_qubits,n_gadgets,method,h,s,cx
343,5,127,1601,Ewout van den Berg (stim),207018,3500,102779
344,6,127,1601,ours,5370,3732,17259
345,6,127,1601,qiskit transpile,18987,544,9484
346,6,127,1601,Bravyi et al. (qiskit),170553,2629,84410
347,6,127,1601,Ewout van den Berg (stim),207450,3513,104548
348,7,127,1601,ours,5303,3763,17337
349,7,127,1601,qiskit transpile,17553,541,8613
350,7,127,1601,Bravyi et al. (qiskit),144644,2117,73400
351,7,127,1601,Ewout van den Berg (stim),197408,2834,99219
352,8,127,1601,ours,5490,3769,17518
353,8,127,1601,qiskit transpile,19210,536,9509
354,8,127,1601,Bravyi et al. (qiskit),182492,2662,91040
355,8,127,1601,Ewout van den Berg (stim),209123,3282,102824
356,9,127,1601,ours,5571,3954,17422
357,9,127,1601,qiskit transpile,19707,539,9787
358,9,127,1601,Bravyi et al. (qiskit),180110,2646,89505
359,9,127,1601,Ewout van den Berg (stim),219798,3642,106229
360,10,127,1601,ours,5486,3757,17781
361,10,127,1601,qiskit transpile,19922,521,9881
362,10,127,1601,Bravyi et al. (qiskit),181168,2858,91531
363,10,127,1601,Ewout van den Berg (stim),218188,3605,107889
364,11,127,1601,ours,5585,3921,17860
365,11,127,1601,qiskit transpile,19412,554,9632
366,11,127,1601,Bravyi et al. (qiskit),171010,2621,85019
367,11,127,1601,Ewout van den Berg (stim),210269,3229,104321
368,12,127,1601,ours,5615,3953,17642
369,12,127,1601,qiskit transpile,19543,540,9625
370,12,127,1601,Bravyi et al. (qiskit),180396,2747,89395
371,12,127,1601,Ewout van den Berg (stim),207886,3260,103995
372,13,127,1601,ours,5454,3889,17593
373,13,127,1601,qiskit transpile,18411,545,9084
374,13,127,1601,Bravyi et al. (qiskit),169634,2496,84482
375,13,127,1601,Ewout van den Berg (stim),216228,3453,104887
376,14,127,1601,ours,5612,3939,17546
377,14,127,1601,qiskit transpile,19597,534,9721
378,14,127,1601,Bravyi et al. (qiskit),181695,2818,91397
379,14,127,1601,Ewout van den Berg (stim),209434,3315,102723
380,15,127,1601,ours,5321,3600,17009
381,15,127,1601,qiskit transpile,18411,539,9142
382,15,127,1601,Bravyi et al. (qiskit),148323,2337,74980
383,15,127,1601,Ewout van den Berg (stim),209870,3131,102250
384,16,127,1601,ours,5273,3719,17154
385,16,127,1601,qiskit transpile,19904,521,9812
386,16,127,1601,Bravyi et al. (qiskit),169380,2533,84308
387,16,127,1601,Ewout van den Berg (stim),204052,3281,103144
388,17,127,1601,ours,5553,3843,17492
389,17,127,1601,qiskit transpile,18593,549,9195
390,17,127,1601,Bravyi et al. (qiskit),177295,2560,88802
391,17,127,1601,Ewout van den Berg (stim),213200,3371,104304
392,18,127,1601,ours,5547,3800,17455
393,18,127,1601,qiskit transpile,19860,529,9834
394,18,127,1601,Bravyi et al. (qiskit),176122,2668,89118
395,18,127,1601,Ewout van den Berg (stim),215208,3588,105744
396,19,127,1601,ours,5541,3750,17759
397,19,127,1601,qiskit transpile,18368,525,9096
398,19,127,1601,Bravyi et al. (qiskit),169330,2562,86099
399,19,127,1601,Ewout van den Berg (stim),223703,3628,109316
400,0,127,2001,ours,5691,3990,18379
401,0,127,2001,qiskit transpile,24879,662,12177
402,0,127,2001,Bravyi et al. (qiskit),214562,3433,107134
403,0,127,2001,Ewout van den Berg (stim),233845,4006,112664
404,1,127,2001,ours,5764,3957,17834
405,1,127,2001,qiskit transpile,24555,699,12207
406,1,127,2001,Bravyi et al. (qiskit),210697,3257,105372
407,1,127,2001,Ewout van den Berg (stim),219040,3901,110075
408,2,127,2001,ours,5894,4117,18397
409,2,127,2001,qiskit transpile,24409,681,12075
410,2,127,2001,Bravyi et al. (qiskit),209403,3274,105433
411,2,127,2001,Ewout van den Berg (stim),229869,4055,112440
412,3,127,2001,ours,6076,4179,18378
413,3,127,2001,qiskit transpile,26763,670,13235
414,3,127,2001,Bravyi et al. (qiskit),224041,3378,111776
415,3,127,2001,Ewout van den Berg (stim),224684,3904,111731
