,n_rep,num_qubits,n_gadgets,method,h,s,cx
340,5,65,401,ours,1043,701,3433
341,5,65,401,qiskit transpile,140,125,1236
342,5,65,401,Bravyi et al. (qiskit),239,193,2559
343,5,65,401,Ewout van den Berg (stim),569,240,8168
344,6,65,401,ours,948,700,3534
345,6,65,401,qiskit transpile,129,138,1106
346,6,65,401,Bravyi et al. (qiskit),307,250,3170
347,6,65,401,Ewout van den Berg (stim),532,251,7942
348,7,65,401,ours,1025,815,3515
349,7,65,401,qiskit transpile,130,121,1369
350,7,65,401,Bravyi et al. (qiskit),364,277,4620
351,7,65,401,Ewout van den Berg (stim),643,341,9751
352,8,65,401,ours,978,685,3118
353,8,65,401,qiskit transpile,127,130,1132
354,8,65,401,Bravyi et al. (qiskit),289,204,3078
355,8,65,401,Ewout van den Berg (stim),490,259,6816
356,9,65,401,ours,959,719,3274
357,9,65,401,qiskit transpile,138,131,1203
358,9,65,401,Bravyi et al. (qiskit),311,230,3266
359,9,65,401,Ewout van den Berg (stim),502,287,7184
360,10,65,401,ours,948,673,3468
361,10,65,401,qiskit transpile,125,137,1175
362,10,65,401,Bravyi et al. (qiskit),325,279,3274
363,10,65,401,Ewout van den Berg (stim),675,307,9380
364,11,65,401,ours,1007,735,3513
365,11,65,401,qiskit transpile,117,151,1200
366,11,65,401,Bravyi et al. (qiskit),303,193,3378
367,11,65,401,Ewout van den Berg (stim),610,288,9205
368,12,65,401,ours,883,621,2938
369,12,65,401,qiskit transpile,145,131,1114
370,12,65,401,Bravyi et al. (qiskit),230,189,2111
371,12,65,401,Ewout van den Berg (stim),479,242,6839
372,13,65,401,ours,1012,756,3666
373,13,65,401,qiskit transpile,126,128,1340
374,13,65,401,Bravyi et al. (qiskit),304,221,3346
375,13,65,401,Ewout van den Berg (stim),706,307,10757
376,14,65,401,ours,1102,722,3671
377,14,65,401,qiskit transpile,117,140,1295
378,14,65,401,Bravyi et al. (qiskit),260,224,3459
379,14,65,401,Ewout van den Berg (stim),611,279,8371
380,15,65,401,ours,954,672,3103
381,15,65,401,qiskit transpile,149,116,1263
382,15,65,401,Bravyi et al. (qiskit),259,186,2688
383,15,65,401,Ewout van den Berg (stim),493,263,6834
384,16,65,401,ours,965,743,3557
385,16,65,401,qiskit transpile,129,122,1311
386,16,65,401,Bravyi et al. (qiskit),375,250,4035
387,16,65,401,Ewout van den Berg (stim),715,315,10569
388,17,65,401,ours,1093,759,3599
389,17,65,401,qiskit transpile,127,129,1265
390,17,65,401,Bravyi et al. (qiskit),385,267,4711
391,17,65,401,Ewout van den Berg (stim),673,335,9016
392,18,65,401,ours,1137,811,3801
393,18,65,401,qiskit transpile,122,137,1275
394,18,65,401,Bravyi et al. (qiskit),367,285,4627
395,18,65,401,Ewout van den Berg (stim),687,334,10568
396,19,65,401,ours,959,636,3147
397,19,65,401,qiskit transpile,130,136,1109
398,19,65,401,Bravyi et al. (qiskit),261,230,2607
399,19,65,401,Ewout van den Berg (stim),370,192,4949
400,0,65,501,ours,1013,762,3405
401,0,65,501,qiskit transpile,175,160,1571
402,0,65,501,Bravyi et al. (qiskit),350,245,4076
403,0,65,501,Ewout van den Berg (stim),926,422,15288
404,1,65,501,ours,991,767,3515
405,1,65,501,qiskit transpile,187,164,1239
406,1,65,501,Bravyi et al. (qiskit),365,290,4129
407,1,65,501,Ewout van den Berg (stim),621,327,9086
408,2,65,501,ours,1213,917,4131
409,2,65,501,qiskit transpile,147,180,1641
410,2,65,501,Bravyi et al. (qiskit),509,360,7182
411,2,65,501,Ewout van den Berg (stim),815,400,12710
412,3,65,501,ours,1188,888,3868
413,3,65,501,qiskit transpile,154,176,1602
414,3,65,501,Bravyi et al. (qiskit),421,286,5216
415,3,65,501,Ewout van den Berg (stim),930,457,14290
416,4,65,501,ours,1067,763,3615
417,4,65,501,qiskit transpile,174,172,1442
418,4,65,501,Bravyi et al. (qiskit),405,322,5006
419,4,65,501,Ewout van den Berg (stim),832,421,11779
420,5,65,501,ours,1175,854,3821
421,5,65,501,qiskit transpile,173,164,1598
422,5,65,501,Bravyi et al. (qiskit),422,300,5246
423,5,65,501,Ewout van den Berg (stim),881,496,12838
424,6,65,501,ours,1164,868,4077
425,6,65,501,qiskit transpile,151,180,1740
426,6,65,501,Bravyi et al. (qiskit),514,369,7809
427,6,65,501,Ewout van den Berg (stim),870,481,13727
428,7,65,501,ours,1190,884,4020
429,7,65,501,qiskit transpile,178,159,1517
430,7,65,501,Bravyi et al. (qiskit),426,324,5693
431,7,65,501,Ewout van den Berg (stim),866,473,15138
432,8,65,501,ours,1208,900,3963
433,8,65,501,qiskit transpile,159,160,1768
434,8,65,501,Bravyi et al. (qiskit),462,360,7400
435,8,65,501,Ewout van den Berg (stim),863,440,14189
436,9,65,501,ours,1022,754,3338
437,9,65,501,qiskit transpile,183,163,1374
438,9,65,501,Bravyi et al. (qiskit),381,300,4603
439,9,65,501,Ewout van den Berg (stim),830,443,12322
440,10,65,501,ours,1113,797,3631
441,10,65,501,qiskit transpile,171,162,1754
442,10,65,501,Bravyi et al. (qiskit),416,298,5717
443,10,65,501,Ewout van den Berg (stim),581,331,9929
444,11,65,501,ours,1094,810,3562
445,11,65,501,qiskit transpile,159,184,1404
446,11,65,501,Bravyi et al. (qiskit),400,315,4777
447,11,65,501,Ewout van den Berg (stim),732,398,10877
448,12,65,501,ours,1159,846,3636
449,12,65,501,qiskit transpile,174,165,1423
450,12,65,501,Bravyi et al. (qiskit),397,262,4846
451,12,65,501,Ewout van den Berg (stim),923,428,12573
452,13,65,501,ours,1065,756,3450
453,13,65,501,qiskit transpile,168,178,1437
454,13,65,501,Bravyi et al. (qiskit),373,270,4727
455,13,65,501,Ewout van den Berg (stim),779,381,12320
456,14,65,501,ours,1216,885,4014
457,14,65,501,qiskit transpile,159,167,1692
458,14,65,501,Bravyi et al. (qiskit),530,374,8319
459,14,65,501,Ewout van den Berg (stim),684,300,9889
460,15,65,501,ours,1040,751,3514
461,15,65,501,qiskit transpile,185,175,1270
462,15,65,501,Bravyi et al. (qiskit),355,265,3952
463,15,65,501,Ewout van den Berg (stim),790,379,11472
464,16,65,501,ours,1051,740,3531
465,16,65,501,qiskit transpile,159,178,1593
466,16,65,501,Bravyi et al. (qiskit),380,271,4503
467,16,65,501,Ewout van den Berg (stim),876,448,13120
468,17,65,501,ours,1224,818,3846
469,17,65,501,qiskit transpile,157,153,1973
470,17,65,501,Bravyi et al. (qiskit),532,391,8100
471,17,65,501,Ewout van den Berg (stim),1157,563,16534
472,18,65,501,ours,1118,833,3953
473,18,65,501,qiskit transpile,178,151,1624
