,n_rep,num_qubits,n_gadgets,method,h,s,cx
562,7,7,46,qiskit,22,0,54
563,7,7,46,qiskit_tableau,18,20,56
564,8,7,46,tableau,23,29,29
565,8,7,46,qiskit,16,0,77
566,8,7,46,qiskit_tableau,14,24,42
567,9,7,46,tableau,30,24,34
568,9,7,46,qiskit,23,0,65
569,9,7,46,qiskit_tableau,18,15,45
570,10,7,46,tableau,29,29,40
571,10,7,46,qiskit,23,0,51
572,10,7,46,qiskit_tableau,19,19,60
573,11,7,46,tableau,22,30,43
574,11,7,46,qiskit,22,0,67
575,11,7,46,qiskit_tableau,24,32,71
576,12,7,46,tableau,20,27,32
577,12,7,46,qiskit,27,0,58
578,12,7,46,qiskit_tableau,24,21,58
579,13,7,46,tableau,25,26,37
580,13,7,46,qiskit,22,0,64
581,13,7,46,qiskit_tableau,23,20,69
582,14,7,46,tableau,31,34,33
583,14,7,46,qiskit,28,0,43
584,14,7,46,qiskit_tableau,20,28,61
585,15,7,46,tableau,26,31,36
586,15,7,46,qiskit,21,0,65
587,15,7,46,qiskit_tableau,15,21,92
588,16,7,46,tableau,25,19,46
589,16,7,46,qiskit,18,0,83
590,16,7,46,qiskit_tableau,18,17,74
591,17,7,46,tableau,21,27,26
592,17,7,46,qiskit,25,0,55
593,17,7,46,qiskit_tableau,19,16,44
594,18,7,46,tableau,27,30,36
595,18,7,46,qiskit,25,0,51
596,18,7,46,qiskit_tableau,20,27,76
597,19,7,46,tableau,29,37,41
598,19,7,46,qiskit,25,0,63
599,19,7,46,qiskit_tableau,14,18,71
600,0,7,51,tableau,20,12,36
601,0,7,51,qiskit,34,0,50
602,0,7,51,qiskit_tableau,21,17,56
603,1,7,51,tableau,15,22,21
604,1,7,51,qiskit,33,0,45
605,1,7,51,qiskit_tableau,13,7,44
606,2,7,51,tableau,25,26,42
607,2,7,51,qiskit,23,0,69
608,2,7,51,qiskit_tableau,22,20,73
609,3,7,51,tableau,23,25,42
610,3,7,51,qiskit,30,0,48
611,3,7,51,qiskit_tableau,18,26,67
612,4,7,51,tableau,19,27,30
613,4,7,51,qiskit,30,0,46
614,4,7,51,qiskit_tableau,15,19,58
615,5,7,51,tableau,23,26,34
616,5,7,51,qiskit,26,0,70
617,5,7,51,qiskit_tableau,25,27,42
618,6,7,51,tableau,19,16,36
619,6,7,51,qiskit,21,0,66
620,6,7,51,qiskit_tableau,15,13,54
621,7,7,51,tableau,28,35,35
622,7,7,51,qiskit,22,0,72
623,7,7,51,qiskit_tableau,21,26,73
624,8,7,51,tableau,31,27,40
625,8,7,51,qiskit,25,0,58
626,8,7,51,qiskit_tableau,20,17,68
627,9,7,51,tableau,26,33,33
628,9,7,51,qiskit,19,0,75
629,9,7,51,qiskit_tableau,20,13,67
630,10,7,51,tableau,18,28,25
631,10,7,51,qiskit,27,0,59
632,10,7,51,qiskit_tableau,10,14,52
633,11,7,51,tableau,33,23,30
634,11,7,51,qiskit,25,0,78
635,11,7,51,qiskit_tableau,16,20,45
636,12,7,51,tableau,24,22,35
637,12,7,51,qiskit,20,0,74
638,12,7,51,qiskit_tableau,14,25,58
639,13,7,51,tableau,20,19,31
640,13,7,51,qiskit,27,0,58
641,13,7,51,qiskit_tableau,14,9,53
642,14,7,51,tableau,21,14,41
643,14,7,51,qiskit,20,0,85
644,14,7,51,qiskit_tableau,20,14,44
645,15,7,51,tableau,21,20,37
646,15,7,51,qiskit,25,0,66
647,15,7,51,qiskit_tableau,24,23,75
648,16,7,51,tableau,25,32,37
649,16,7,51,qiskit,23,0,76
650,16,7,51,qiskit_tableau,24,20,82
651,17,7,51,tableau,21,24,31
652,17,7,51,qiskit,31,0,44
653,17,7,51,qiskit_tableau,21,16,50
654,18,7,51,tableau,16,22,31
655,18,7,51,qiskit,26,0,80
656,18,7,51,qiskit_tableau,19,19,59
657,19,7,51,tableau,24,31,43
658,19,7,51,qiskit,25,0,61
659,19,7,51,qiskit_tableau,22,27,65
660,0,7,56,tableau,24,24,42
661,0,7,56,qiskit,35,0,57
662,0,7,56,qiskit_tableau,18,23,81
663,1,7,56,tableau,23,41,40
664,1,7,56,qiskit,31,0,60
665,1,7,56,qiskit_tableau,15,25,57
666,2,7,56,tableau,29,37,41
667,2,7,56,qiskit,33,0,75
668,2,7,56,qiskit_tableau,24,33,89
669,3,7,56,tableau,30,35,42
670,3,7,56,qiskit,24,0,98
671,3,7,56,qiskit_tableau,20,35,94
672,4,7,56,tableau,21,26,43
673,4,7,56,qiskit,28,0,76
674,4,7,56,qiskit_tableau,20,25,63
675,5,7,56,tableau,27,34,39
676,5,7,56,qiskit,28,0,82
677,5,7,56,qiskit_tableau,25,24,72
678,6,7,56,tableau,22,27,31
679,6,7,56,qiskit,31,0,66
680,6,7,56,qiskit_tableau,20,25,50
681,7,7,56,tableau,18,26,33
682,7,7,56,qiskit,25,0,69
683,7,7,56,qiskit_tableau,5,2,48
684,8,7,56,tableau,23,22,38
685,8,7,56,qiskit,28,0,70
686,8,7,56,qiskit_tableau,20,20,60
687,9,7,56,tableau,22,24,36
688,9,7,56,qiskit,30,0,63
689,9,7,56,qiskit_tableau,29,33,73
690,10,7,56,tableau,20,30,31
691,10,7,56,qiskit,29,0,67
692,10,7,56,qiskit_tableau,24,34,59
693,11,7,56,tableau,24,30,47
