,n_rep,num_qubits,n_gadgets,method,h,s,cx
548,2,5,46,qiskit_tableau,14,0,70
549,3,5,46,tableau,13,18,16
550,3,5,46,tableau_imp,10,17,13
551,3,5,46,qiskit_tableau,24,0,51
552,4,5,46,tableau,20,23,17
553,4,5,46,tableau_imp,10,18,17
554,4,5,46,qiskit_tableau,26,0,47
555,5,5,46,tableau,17,14,14
556,5,5,46,tableau_imp,14,8,15
557,5,5,46,qiskit_tableau,24,0,48
558,6,5,46,tableau,15,24,15
559,6,5,46,tableau_imp,11,17,16
560,6,5,46,qiskit_tableau,25,0,43
561,7,5,46,tableau,16,19,16
562,7,5,46,tableau_imp,19,24,21
563,7,5,46,qiskit_tableau,18,0,55
564,8,5,46,tableau,9,12,24
565,8,5,46,tableau_imp,7,9,21
566,8,5,46,qiskit_tableau,25,0,44
567,9,5,46,tableau,17,22,18
568,9,5,46,tableau_imp,18,24,18
569,9,5,46,qiskit_tableau,25,0,32
570,10,5,46,tableau,12,9,11
571,10,5,46,tableau_imp,12,9,11
572,10,5,46,qiskit_tableau,24,0,48
573,11,5,46,tableau,10,16,7
574,11,5,46,tableau_imp,10,16,7
575,11,5,46,qiskit_tableau,24,0,44
576,12,5,46,tableau,14,19,15
577,12,5,46,tableau_imp,16,24,14
578,12,5,46,qiskit_tableau,19,0,50
579,13,5,46,tableau,9,11,13
580,13,5,46,tableau_imp,19,25,17
581,13,5,46,qiskit_tableau,21,0,43
582,14,5,46,tableau,14,20,19
583,14,5,46,tableau_imp,11,15,15
584,14,5,46,qiskit_tableau,18,0,54
585,15,5,46,tableau,16,17,23
586,15,5,46,tableau_imp,10,14,19
587,15,5,46,qiskit_tableau,23,0,32
588,16,5,46,tableau,8,11,24
589,16,5,46,tableau_imp,8,11,24
590,16,5,46,qiskit_tableau,14,0,66
591,17,5,46,tableau,16,19,21
592,17,5,46,tableau_imp,17,16,19
593,17,5,46,qiskit_tableau,27,0,44
594,18,5,46,tableau,9,14,18
595,18,5,46,tableau_imp,9,14,18
596,18,5,46,qiskit_tableau,21,0,45
597,19,5,46,tableau,20,29,18
598,19,5,46,tableau_imp,14,19,19
599,19,5,46,qiskit_tableau,18,0,66
600,0,5,51,tableau,20,19,17
601,0,5,51,tableau_imp,12,15,18
602,0,5,51,qiskit_tableau,23,0,57
603,1,5,51,tableau,15,15,14
