,n_rep,num_qubits,n_gadgets,method,h,s,cx
359,9,16,81,Ewout van den Berg (stim),57,42,75
360,10,16,81,ours,43,64,42
361,10,16,81,qiskit transpile,32,27,20
362,10,16,81,Bravyi et al. (qiskit),35,46,39
363,10,16,81,Ewout van den Berg (stim),63,52,78
364,11,16,81,ours,59,57,106
365,11,16,81,qiskit transpile,23,29,29
366,11,16,81,Bravyi et al. (qiskit),39,45,50
367,11,16,81,Ewout van den Berg (stim),64,60,83
368,12,16,81,ours,74,80,90
369,12,16,81,qiskit transpile,21,31,29
370,12,16,81,Bravyi et al. (qiskit),50,43,50
371,12,16,81,Ewout van den Berg (stim),63,46,90
372,13,16,81,ours,63,55,89
373,13,16,81,qiskit transpile,30,24,27
374,13,16,81,Bravyi et al. (qiskit),44,36,52
375,13,16,81,Ewout van den Berg (stim),44,36,57
376,14,16,81,ours,67,65,88
377,14,16,81,qiskit transpile,23,25,33
378,14,16,81,Bravyi et al. (qiskit),51,54,68
379,14,16,81,Ewout van den Berg (stim),57,59,89
380,15,16,81,ours,53,41,68
381,15,16,81,qiskit transpile,30,23,28
382,15,16,81,Bravyi et al. (qiskit),47,43,52
383,15,16,81,Ewout van den Berg (stim),48,34,49
384,16,16,81,ours,49,57,49
385,16,16,81,qiskit transpile,26,27,26
386,16,16,81,Bravyi et al. (qiskit),36,41,45
387,16,16,81,Ewout van den Berg (stim),60,36,74
388,17,16,81,ours,40,40,80
389,17,16,81,qiskit transpile,25,20,34
390,17,16,81,Bravyi et al. (qiskit),49,49,68
391,17,16,81,Ewout van den Berg (stim),68,50,99
392,18,16,81,ours,55,61,89
393,18,16,81,qiskit transpile,30,25,26
394,18,16,81,Bravyi et al. (qiskit),48,59,39
395,18,16,81,Ewout van den Berg (stim),39,56,41
396,19,16,81,ours,49,62,84
397,19,16,81,qiskit transpile,31,27,21
398,19,16,81,Bravyi et al. (qiskit),43,38,36
399,19,16,81,Ewout van den Berg (stim),33,36,39
400,0,16,101,ours,77,88,105
401,0,16,101,qiskit transpile,24,39,38
402,0,16,101,Bravyi et al. (qiskit),51,34,70
403,0,16,101,Ewout van den Berg (stim),66,51,109
404,1,16,101,ours,74,76,95
405,1,16,101,qiskit transpile,33,33,35
406,1,16,101,Bravyi et al. (qiskit),55,63,70
407,1,16,101,Ewout van den Berg (stim),67,60,84
408,2,16,101,ours,61,66,93
409,2,16,101,qiskit transpile,37,31,33
410,2,16,101,Bravyi et al. (qiskit),48,51,58
411,2,16,101,Ewout van den Berg (stim),61,54,74
412,3,16,101,ours,80,88,148
413,3,16,101,qiskit transpile,28,32,41
414,3,16,101,Bravyi et al. (qiskit),59,66,91
415,3,16,101,Ewout van den Berg (stim),92,64,135
416,4,16,101,ours,68,70,102
417,4,16,101,qiskit transpile,30,28,41
418,4,16,101,Bravyi et al. (qiskit),72,68,84
419,4,16,101,Ewout van den Berg (stim),109,78,140
420,5,16,101,ours,58,59,55
421,5,16,101,qiskit transpile,40,36,25
422,5,16,101,Bravyi et al. (qiskit),44,32,42
423,5,16,101,Ewout van den Berg (stim),49,33,44
424,6,16,101,ours,69,83,82
425,6,16,101,qiskit transpile,33,36,30
426,6,16,101,Bravyi et al. (qiskit),72,53,58
427,6,16,101,Ewout van den Berg (stim),92,52,114
428,7,16,101,ours,73,91,103
429,7,16,101,qiskit transpile,28,37,36
430,7,16,101,Bravyi et al. (qiskit),47,47,71
431,7,16,101,Ewout van den Berg (stim),58,55,76
432,8,16,101,ours,72,86,110
433,8,16,101,qiskit transpile,29,34,38
434,8,16,101,Bravyi et al. (qiskit),64,68,89
435,8,16,101,Ewout van den Berg (stim),88,69,128
436,9,16,101,ours,81,75,132
437,9,16,101,qiskit transpile,24,38,37
438,9,16,101,Bravyi et al. (qiskit),67,56,92
439,9,16,101,Ewout van den Berg (stim),75,60,120
440,10,16,101,ours,73,83,96
441,10,16,101,qiskit transpile,36,31,30
442,10,16,101,Bravyi et al. (qiskit),48,43,76
443,10,16,101,Ewout van den Berg (stim),48,54,71
444,11,16,101,ours,54,60,92
445,11,16,101,qiskit transpile,40,25,36
446,11,16,101,Bravyi et al. (qiskit),49,49,73
447,11,16,101,Ewout van den Berg (stim),63,47,105
448,12,16,101,ours,69,71,104
449,12,16,101,qiskit transpile,33,37,31
450,12,16,101,Bravyi et al. (qiskit),59,59,66
451,12,16,101,Ewout van den Berg (stim),82,61,84
452,13,16,101,ours,66,62,96
453,13,16,101,qiskit transpile,28,32,41
454,13,16,101,Bravyi et al. (qiskit),56,57,104
455,13,16,101,Ewout van den Berg (stim),81,74,131
456,14,16,101,ours,73,91,90
457,14,16,101,qiskit transpile,32,35,34
458,14,16,101,Bravyi et al. (qiskit),59,56,65
459,14,16,101,Ewout van den Berg (stim),78,65,98
460,15,16,101,ours,81,85,109
461,15,16,101,qiskit transpile,34,26,39
462,15,16,101,Bravyi et al. (qiskit),47,64,86
463,15,16,101,Ewout van den Berg (stim),90,60,138
464,16,16,101,ours,86,68,123
465,16,16,101,qiskit transpile,35,31,35
466,16,16,101,Bravyi et al. (qiskit),68,54,72
467,16,16,101,Ewout van den Berg (stim),78,64,125
468,17,16,101,ours,64,69,109
469,17,16,101,qiskit transpile,32,35,32
